,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
13,SOL,USDT,Binance,,,,213.06031799316406,212.70970153808594,7,2021-12-03 23:19:14.935,2021-12-03 23:19:16.801,212.81000000,2.35000000,212.82000000,11.22000000,0.0,0.0,0.0,0.0
14,SOL,USDT,FTX,,,,212.4598995,212.06018749999998,8,2021-12-03 23:21:05.814,2021-12-03 23:21:07.921,212.755,14.0,212.825,7.56,0.0,0.0,0.0,0.0
15,SOL,USDT,Binance,,,,212.98025512695312,212.6297607421875,8,2021-12-03 23:21:05.814,2021-12-03 23:21:07.921,212.82000000,17.39000000,212.85000000,5.30000000,0.0,0.0,0.0,0.0
16,SOL,USDT,FTX,,,,213.01773399999996,212.66732299999998,9,2021-12-03 23:27:27.337,2021-12-03 23:27:29.419,213.2375,25.18,213.41,7.56,0.0,0.0,0.0,0.0
17,SOL,USDT,Binance,,,,213.45062255859375,213.0394287109375,9,2021-12-03 23:27:27.337,2021-12-03 23:27:29.419,213.37000000,7.35000000,213.42000000,11.65000000,0.0,0.0,0.0,0.0
18,SOL,USDT,Binance,,,,212.7000274658203,212.34999084472656,10,2021-12-03 23:30:52.663,2021-12-03 23:30:54.666,212.52000000,15.70000000,212.54000000,0.04000000,0.0,0.0,0.0,0.0
19,SOL,USDT,FTX,,,,213.0402475,212.702302,10,2021-12-03 23:30:52.663,2021-12-03 23:30:54.666,212.4875,10.41,212.535,1.1,0.0,0.0,0.0,0.0
20,SOL,USDT,Binance,,,,212.05950927734375,211.7104949951172,11,2021-12-03 23:31:05.686,2021-12-03 23:31:07.343,211.84000000,0.06000000,211.91000000,4.00000000,0.0,0.0,0.0,0.0
21,SOL,USDT,FTX,,,,212.6300015,212.3600075,11,2021-12-03 23:31:05.686,2021-12-03 23:31:07.343,211.8375,0.04,211.9375,0.46,0.0,0.0,0.0,0.0
22,SOL,USDT,FTX,,,,212.04715199999998,211.7503735,12,2021-12-03 23:33:07.294,2021-12-03 23:33:09.470,212.475,10.0,212.4975,21.17,0.0,0.0,0.0,0.0
